County,Median Household Income
"Perry County, Indiana",55503
"Pike County, Indiana",63487
"Porter County, Indiana",84352
"Posey County, Indiana",75907
"Pulaski County, Indiana",60487
"Putnam County, Indiana",68301
"Randolph County, Indiana",56920
"Ripley County, Indiana",63571
"Rush County, Indiana",61653
"St. Joseph County, Indiana",61028
"Scott County, Indiana",57837
"Shelby County, Indiana",66045
"Spencer County, Indiana",70440
"Starke County, Indiana",58523
"Steuben County, Indiana",73250
"Sullivan County, Indiana",55497
"Switzerland County, Indiana",63246
"Tippecanoe County, Indiana",56088
"Tipton County, Indiana",65025
"Union County, Indiana",61171
"Vanderburgh County, Indiana",57997
"Vermillion County, Indiana",58280
"Vigo County, Indiana",52286
"Wabash County, Indiana",64025
"Warren County, Indiana",73539
"Warrick County, Indiana",84567
"Washington County, Indiana",65342
"Wayne County, Indiana",51622
"Wells County, Indiana",68879
"White County, Indiana",66167
"Whitley County, Indiana",72448
"Adair County, Iowa",66997
"Adams County, Iowa",58973
"Allamakee County, Iowa",60743
"Appanoose County, Iowa",53589
"Audubon County, Iowa",60504
"Benton County, Iowa",82762
"Black Hawk County, Iowa",62020
"Boone County, Iowa",74896
"Bremer County, Iowa",83797
"Buchanan County, Iowa",70498
"Buena Vista County, Iowa",67552
"Butler County, Iowa",67233
"Calhoun County, Iowa",64634
"Carroll County, Iowa",73643
"Cass County, Iowa",61204
"Cedar County, Iowa",71563
"Cerro Gordo County, Iowa",63279
"Cherokee County, Iowa",65985
"Chickasaw County, Iowa",74077
"Clarke County, Iowa",65129
"Clay County, Iowa",68542
"Clayton County, Iowa",64486
"Clinton County, Iowa",61136
"Crawford County, Iowa",67363
"Dallas County, Iowa",109138
"Davis County, Iowa",65201
"Decatur County, Iowa",51749
"Delaware County, Iowa",74017
"Des Moines County, Iowa",59688
"Dickinson County, Iowa",75406
"Dubuque County, Iowa",73492
"Emmet County, Iowa",56834
"Fayette County, Iowa",56599
"Floyd County, Iowa",64553
"Franklin County, Iowa",63775
"Fremont County, Iowa",69018
"Greene County, Iowa",63562
"Grundy County, Iowa",79386
"Guthrie County, Iowa",72701
"Hamilton County, Iowa",68795
"Hancock County, Iowa",67498
"Hardin County, Iowa",59622
"Harrison County, Iowa",73457
"Henry County, Iowa",63702
"Howard County, Iowa",66979
"Humboldt County, Iowa",71521
"Ida County, Iowa",67696
"Iowa County, Iowa",72948
"Jackson County, Iowa",64792
"Jasper County, Iowa",69047
"Jefferson County, Iowa",59603
"Johnson County, Iowa",74909
"Jones County, Iowa",70671
"Keokuk County, Iowa",65653
"Kossuth County, Iowa",65510
"Lee County, Iowa",59017
"Linn County, Iowa",74134
"Louisa County, Iowa",70953
"Lucas County, Iowa",60245
"Lyon County, Iowa",74061
"Madison County, Iowa",80887
"Mahaska County, Iowa",68759
"Marion County, Iowa",73451
"Marshall County, Iowa",69818
"Mills County, Iowa",75835
"Mitchell County, Iowa",65132
"Monona County, Iowa",60237
"Monroe County, Iowa",66176
"Montgomery County, Iowa",58895
"Muscatine County, Iowa",69096
"O'Brien County, Iowa",67470
"Osceola County, Iowa",64993
"Page County, Iowa",60567
"Palo Alto County, Iowa",65438
"Plymouth County, Iowa",79431
"Pocahontas County, Iowa",61927
"Polk County, Iowa",77369
"Pottawattamie County, Iowa",68712
"Poweshiek County, Iowa",69566
"Ringgold County, Iowa",60061
"Sac County, Iowa",72499
"Scott County, Iowa",68576
"Shelby County, Iowa",71628
"Sioux County, Iowa",75994
"Story County, Iowa",68720
"Tama County, Iowa",66295
"Taylor County, Iowa",56021
"Union County, Iowa",55812
"Van Buren County, Iowa",64550
"Wapello County, Iowa",61555
"Warren County, Iowa",90943
"Washington County, Iowa",70539
"Wayne County, Iowa",58000
"Webster County, Iowa",67110
"Winnebago County, Iowa",66776
"Winneshiek County, Iowa",72032
"Woodbury County, Iowa",66830
"Worth County, Iowa",71329
"Wright County, Iowa",67291
"Allen County, Kansas",50995
"Anderson County, Kansas",59683
"Atchison County, Kansas",59085
"Barber County, Kansas",59845
"Barton County, Kansas",56711
"Bourbon County, Kansas",44954
"Brown County, Kansas",56391
"Butler County, Kansas",80214
"Chase County, Kansas",58580
"Chautauqua County, Kansas",49457
"Cherokee County, Kansas",54965
"Cheyenne County, Kansas",56500
"Clark County, Kansas",58914
"Clay County, Kansas",59021
"Cloud County, Kansas",52483
"Coffey County, Kansas",69100
"Comanche County, Kansas",53657
"Cowley County, Kansas",56416
"Crawford County, Kansas",51835
"Decatur County, Kansas",51152
"Dickinson County, Kansas",63136
"Doniphan County, Kansas",64608
"Douglas County, Kansas",67482
"Edwards County, Kansas",55777
"Elk County, Kansas",47094
"Ellis County, Kansas",61675
"Ellsworth County, Kansas",63636
"Finney County, Kansas",69966
"Ford County, Kansas",67714
"Franklin County, Kansas",67263
"Geary County, Kansas",60026
"Gove County, Kansas",64037
"Graham County, Kansas",53233
"Grant County, Kansas",66022
"Gray County, Kansas",77761
"Greeley County, Kansas",72300
"Greenwood County, Kansas",52145
"Hamilton County, Kansas",63442
"Harper County, Kansas",52893
"Harvey County, Kansas",73854
"Haskell County, Kansas",69971
"Hodgeman County, Kansas",67478
"Jackson County, Kansas",70445
"Jefferson County, Kansas",75774
"Jewell County, Kansas",56144
"Johnson County, Kansas",99174
"Kearny County, Kansas",75773
"Kingman County, Kansas",65597
"Kiowa County, Kansas",61700
"Labette County, Kansas",52318
"Lane County, Kansas",64934
"Leavenworth County, Kansas",79117
