,County,Overall Score,Rent vs. Mortgage Score,Demand Score,Affordability Score,Poverty Score,Rent vs. Mortgage,Median Price % Increase,Median Price Increase,Median Home Price (2023),Median Household Income,Pop Growth % from 2020-2023,Pop Growth from 2020-2023,Total Housing Units built after 2020,Demand Ratio,Affordability Ratio,Poverty Percent,Latitude,Longitude
24,"Broward County, Florida",15,7,1,1,6,334.0,35.17241379310346,102000.0,392000.0,70834.0,0.9845126937456854,19133,11182,1.7110534788052227,6.334644965122519,13.3,26.1598074,-80.4623642
26,"Hillsborough County, Florida",15,7,1,1,6,328.0,50.2767441860465,108095.0,323095.0,74091.0,4.726940402590273,69309,20108,3.4468370797692462,3.6846528744778198,12.9,27.9184543,-82.3488057
73,"Montgomery County, Texas",15,5,1,1,8,116.0,25.121076233183842,56020.0,279020.0,95241.0,13.763671634486968,86063,18571,4.634268483118841,5.128479887997416,8.5,30.301949,-95.5065944
70,"Adams County, Colorado",15,5,1,1,8,123.0,38.15789473684211,145000.0,525000.0,89849.0,2.4716618635926864,12865,7067,1.8204329984434697,12.713881420687704,10.2,39.8714085,-104.2701374
61,"Clark County, Washington",15,5,1,1,8,146.0,33.333333333333314,125000.0,500000.0,91149.0,3.1289948509710257,15812,8470,1.8668240850059032,10.761393152302244,8.6,45.7669047,-122.4940866
58,"Snohomish County, Washington",15,5,1,1,8,153.0,43.64640883977901,197500.0,650000.0,101440.0,1.7866502476705932,14828,9312,1.5923539518900343,10.893470790378007,8.5,48.0074736,-121.7304882
51,"Hall County, Georgia",15,6,1,1,7,178.0,48.118686868686865,95275.0,293275.0,76789.0,6.779277840303138,13794,4224,3.265625,18.179214015151516,11.7,34.2905901,-83.8194028
98,"Utah County, Utah",14,4,1,1,8,-6.0,51.384848484848476,169570.0,499570.0,95085.0,8.375439839058458,55579,13605,4.085189268651231,6.9889746416758545,8.1,40.177058,-111.69107185434031
101,"Hays County, Texas",14,4,1,1,8,-28.0,60.37735849056605,160000.0,425000.0,89074.0,14.96835650577124,36518,10079,3.623176902470483,8.83758309356087,9.9,30.0447901,-98.0393127
104,"Johnston County, North Carolina",14,3,2,1,8,-58.0,43.548387096774206,108000.0,356000.0,80612.0,11.086369646661282,24147,4582,5.269969445656918,17.593190746398953,10.0,35.5285816,-78.3768021
111,"Brazoria County, Texas",14,2,2,2,8,-142.0,25.927686839185853,57260.0,278105.0,86197.0,6.812711349342564,25445,4555,5.586169045005488,18.923600439077937,10.1,29.18161,-95.4993375
57,"Knox County, Tennessee",14,5,1,1,7,158.0,50.684931506849324,92500.0,275000.0,70013.0,4.194033081104493,20153,6714,3.00163836759011,10.42791182603515,11.6,35.9859998,-83.9375598
66,"Riverside County, California",14,5,1,1,7,131.0,41.721191136909454,147489.0,501000.0,86350.0,2.866248478637786,69449,15275,4.546579378068739,5.653027823240589,10.9,33.7219991,-116.0372472
86,"Hunt County, Texas",14,4,2,2,6,63.0,34.53977357156916,86003.0,335000.0,68019.0,13.059828036786556,13093,2422,5.405862923203964,28.083815028901736,12.9,33.1161567,-96.0808922
39,"Clark County, Nevada",14,6,1,1,6,242.0,37.06563706563705,96000.0,355000.0,70838.0,2.7116072138967837,61686,27720,2.2253246753246754,2.5554834054834057,13.3,36.3467726,-115.090737
72,"Tarrant County, Texas",14,5,1,1,7,117.0,41.203703703703695,89000.0,305000.0,76285.0,3.171648139745912,67107,24565,2.7318135558721757,3.1054345613677996,10.6,32.7513658,-97.335696
68,"Lexington County, South Carolina",14,5,1,1,7,125.0,35.625,57000.0,217000.0,73022.0,4.908031601744796,14481,4624,3.131704152249135,15.791955017301039,11.0,33.8986841,-81.275054
63,"Madison County, Alabama",14,5,1,1,7,135.0,55.12640449438203,98125.0,276125.0,80426.0,5.658599293731427,22097,7616,2.901391806722689,10.560136554621849,11.3,34.7736807,-86.5675095
55,"Spartanburg County, South Carolina",14,6,1,1,6,169.0,43.17901234567901,69950.0,231950.0,58535.0,8.294092823161165,27319,8989,3.039158972076983,6.5118478139948826,14.6,34.937029,-81.9955954
53,"Pima County, Arizona",14,6,1,1,6,171.0,53.19148936170214,100000.0,288000.0,64007.0,1.7209558207955666,17987,9710,1.852420185375901,6.5918640576725025,14.6,32.0575,-111.6661
109,"Weld County, Colorado",13,3,1,1,8,-101.0,32.968124999999986,105498.0,425498.0,90770.0,8.44269862244991,27984,7100,3.9414084507042255,12.784507042253521,9.1,40.5632344,-104.4835287
88,"San Joaquin County, California",13,4,1,1,7,51.0,36.0,135000.0,510000.0,84738.0,2.6066560169711863,20348,5709,3.564196882115957,14.842879663688912,12.3,37.9372901,-121.2773719
37,"Marion County, Florida",13,6,1,1,5,250.0,41.29775621588843,68100.0,233000.0,54517.0,8.606466174974557,32487,7384,4.399647887323944,7.383125677139762,15.6,29.2182454,-82.0626948
110,"Washington County, Arkansas",13,3,2,2,6,-111.0,43.52641698486201,80365.0,265000.0,62100.0,5.987259597850667,14775,2762,5.3493845039826216,22.483707458363504,14.3,35.9672625,-94.2280656
67,"Bell County, Texas",13,5,1,1,6,126.0,43.125,69000.0,229000.0,62412.0,5.62378780308282,20935,6456,3.242719950433705,9.66728624535316,14.2,31.0081659,-97.4314413
91,"Charleston County, South Carolina",13,4,1,1,7,39.0,35.149553650816216,98830.0,380000.0,79969.0,3.5296499869480016,14468,7094,2.039469974626445,11.272765717507752,11.6,32.8152646,-79.7996814
64,"Polk County, Florida",13,5,2,1,5,132.0,41.078645833333326,78871.0,270871.0,61941.0,12.075742510525117,88172,15049,5.858993953086584,4.115954548474981,15.7,27.9448537,-81.7268789
105,"Pender County, North Carolina",13,3,1,2,7,-60.0,34.782608695652186,80000.0,310000.0,73663.0,12.998235459028024,7882,2628,2.9992389649923896,28.03006088280061,10.5,34.5294394,-77.8959525
113,"Lancaster County, South Carolina",12,1,2,2,7,-311.0,42.13821989528796,80484.0,271484.5,70113.0,12.03772725390317,11627,2481,4.686416767432487,28.259975816203145,10.6,34.6628067,-80.700546
82,"Bexar County, Texas",12,5,1,1,5,70.0,31.672820512820522,61762.0,256762.0,65839.0,3.581144340786736,72178,34343,2.1016801094837376,1.9171010103951314,15.6,29.4263987,-98.5104781
96,"Liberty County, Texas",12,4,2,2,4,21.0,32.530120481927725,67500.0,275000.0,61880.0,17.077390542717794,15793,2081,7.589139836617011,29.735703988467083,19.9,30.0856736,-94.7856262
92,"Harris County, Texas",11,4,1,1,5,36.0,32.530120481927725,67500.0,275000.0,68748.0,2.119058239517173,100333,53630,1.870837217975014,1.28189446205482,16.4,29.8119769,-95.3741247
99,"Hidalgo County, Texas",7,4,1,1,1,-23.0,37.1875,59500.0,219500.0,48825.0,2.9346192269973557,25615,9021,2.839485644607028,5.412371134020619,27.4,26.3530256,-98.216445
