County,Costs with Mortgage,Cost without Mortgage,Average Mortgage Cost,Average Rent Cost,Rent vs. Mortgage
"Allegany County, Maryland",1175,445,730,728,-2
"Anne Arundel County, Maryland",2225,679,1546,1801,255
"Baltimore County, Maryland",1851,646,1205,1457,252
"Calvert County, Maryland",2185,684,1501,1827,326
"Carroll County, Maryland",2112,580,1532,1256,-276
"Cecil County, Maryland",1757,643,1114,1418,304
"Charles County, Maryland",2138,699,1439,1783,344
"Frederick County, Maryland",2227,657,1570,1672,102
"Harford County, Maryland",1850,604,1246,1507,261
"Howard County, Maryland",2738,953,1785,1916,131
"Montgomery County, Maryland",2571,923,1648,1852,204
"Prince George's County, Maryland",2207,746,1461,1647,186
"St. Mary's County, Maryland",2056,655,1401,1530,129
"Washington County, Maryland",1430,492,938,985,47
"Wicomico County, Maryland",1470,550,920,1273,353
"Baltimore city, Maryland",1608,611,997,1235,238
"Barnstable County, Massachusetts",2299,903,1396,1573,177
"Berkshire County, Massachusetts",1681,718,963,968,5
"Bristol County, Massachusetts",2177,796,1381,1125,-256
"Essex County, Massachusetts",2598,987,1611,1694,83
"Franklin County, Massachusetts",1697,745,952,998,46
"Hampden County, Massachusetts",1773,755,1018,1012,-6
"Hampshire County, Massachusetts",2144,846,1298,1313,15
"Middlesex County, Massachusetts",2929,1116,1813,1997,184
"Norfolk County, Massachusetts",2935,1112,1823,1957,134
"Plymouth County, Massachusetts",2606,1010,1596,1632,36
"Suffolk County, Massachusetts",2777,1007,1770,1941,171
"Worcester County, Massachusetts",2158,862,1296,1323,27
"Allegan County, Michigan",1410,545,865,994,129
"Bay County, Michigan",1133,499,634,829,195
"Berrien County, Michigan",1372,555,817,885,68
"Calhoun County, Michigan",1254,505,749,853,104
"Clinton County, Michigan",1587,593,994,1022,28
"Eaton County, Michigan",1332,613,719,1029,310
"Genesee County, Michigan",1324,528,796,870,74
"Grand Traverse County, Michigan",1593,532,1061,1241,180
"Ingham County, Michigan",1352,638,714,960,246
"Ionia County, Michigan",1312,581,731,856,125
"Jackson County, Michigan",1299,500,799,881,82
"Kalamazoo County, Michigan",1487,638,849,1085,236
"Kent County, Michigan",1448,567,881,1196,315
"Lapeer County, Michigan",1429,518,911,1036,125
"Lenawee County, Michigan",1345,535,810,840,30
"Livingston County, Michigan",1765,652,1113,1215,102
"Macomb County, Michigan",1478,602,876,1117,241
"Marquette County, Michigan",1292,500,792,881,89
"Midland County, Michigan",1368,589,779,1006,227
"Monroe County, Michigan",1370,557,813,1060,247
"Montcalm County, Michigan",1223,474,749,780,31
"Muskegon County, Michigan",1185,490,695,993,298
"Oakland County, Michigan",1831,718,1113,1251,138
"Ottawa County, Michigan",1543,555,988,1126,138
"Saginaw County, Michigan",1167,538,629,920,291
"St. Clair County, Michigan",1359,545,814,1020,206
"Shiawassee County, Michigan",1265,536,729,855,126
"Van Buren County, Michigan",1227,561,666,845,179
"Washtenaw County, Michigan",1935,835,1100,1328,228
"Wayne County, Michigan",1423,581,842,1048,206
"Anoka County, Minnesota",1778,621,1157,1405,248
"Blue Earth County, Minnesota",1571,659,912,973,61
