County,Total Housing Units built after 2020
"Kent County, Rhode Island",186
"Newport County, Rhode Island",477
"Providence County, Rhode Island",2033
"Washington County, Rhode Island",982
"Aiken County, South Carolina",2718
"Anderson County, South Carolina",2950
"Beaufort County, South Carolina",2863
"Berkeley County, South Carolina",8790
"Charleston County, South Carolina",7094
"Dorchester County, South Carolina",2551
"Florence County, South Carolina",1398
"Greenville County, South Carolina",10066
"Greenwood County, South Carolina",349
"Horry County, South Carolina",9469
"Kershaw County, South Carolina",382
"Lancaster County, South Carolina",2481
"Laurens County, South Carolina",481
"Lexington County, South Carolina",4624
"Oconee County, South Carolina",519
"Orangeburg County, South Carolina",203
"Pickens County, South Carolina",1258
"Richland County, South Carolina",4484
"Spartanburg County, South Carolina",8989
"Sumter County, South Carolina",829
"York County, South Carolina",5207
"Lincoln County, South Dakota",1411
"Minnehaha County, South Dakota",2015
"Pennington County, South Dakota",949
"Anderson County, Tennessee",1041
"Blount County, Tennessee",1053
"Bradley County, Tennessee",714
"Davidson County, Tennessee",15972
"Greene County, Tennessee",336
"Hamblen County, Tennessee",248
"Hamilton County, Tennessee",3153
"Knox County, Tennessee",6714
"Madison County, Tennessee",565
"Maury County, Tennessee",2592
"Montgomery County, Tennessee",5729
"Putnam County, Tennessee",579
"Robertson County, Tennessee",1363
"Rutherford County, Tennessee",9451
"Sevier County, Tennessee",2013
"Shelby County, Tennessee",3865
"Sullivan County, Tennessee",660
"Sumner County, Tennessee",2718
"Washington County, Tennessee",1369
"Williamson County, Tennessee",5508
"Wilson County, Tennessee",4224
"Angelina County, Texas",1185
"Bastrop County, Texas",1827
"Bell County, Texas",6456
"Bexar County, Texas",34343
"Bowie County, Texas",825
"Brazoria County, Texas",4555
"Brazos County, Texas",3971
"Cameron County, Texas",4095
"Collin County, Texas",29214
"Comal County, Texas",6648
"Coryell County, Texas",913
"Dallas County, Texas",24334
"Denton County, Texas",20351
"Ector County, Texas",1623
"Ellis County, Texas",4625
"El Paso County, Texas",7482
"Fort Bend County, Texas",19160
"Galveston County, Texas",4226
"Grayson County, Texas",3021
"Gregg County, Texas",511
"Guadalupe County, Texas",4382
"Harris County, Texas",53630
"Harrison County, Texas",335
"Hays County, Texas",10079
